Metric,PMTSet1,PMTSet2,PMTSet3,PMTSet4,PMTSet5,PMTSet6,PMTSet7,PMTSet8,PMTSet9,PMTSet10,PMTSet11,PMTSet12,PMTSet13,PMTSet14,PMTSet15,PMTSet16,PMTSet17,PMTSet18,PMTSet19,PMTSet20,PMTSet21,PMTSet22,PMTSet23,PMTSet24,PMTSet25,PMTSet26,PMTSet27,PMTSet28,PMTSet29,309434,302640,309504,302159,355216,356009,351884,351847,358123,303334,311222,355145,358230,304616,302948,300515,300091
vector sum x,6966.010000026199,-2857444.5100000137,-5166723.450000007,-6869724.890000016,-8355427.069999975,-9303953.88999999,-9428922.649999987,-8502175.979999986,-6654627.329999964,-4048084.490000018,-651863.4499999956,3097495.400000014,6111186.349999998,8233303.590000004,10290462.43999999,-66034.30999997677,-165421.57999996128,-83528.95999996891,-172684.29999994623,126539.2100000116,28215.919999992588,-300506.0799999808,-144960.23999999798,90644.75000000284,-16223.849999999456,328458.79999998776,86186.64999999845,-63484.320000003376,-345556.29999999906,,,,,,,,,,,,,,,,,
vector sum y,-12411.909999979289,-1090238.3799999782,-2336205.379999988,-4025699.339999991,-5948600.430000025,-7891203.750000003,-11206798.240000002,-14223694.400000012,-16385220.200000009,-18383742.479999997,-19763100.260000017,-19216644.13000004,-17679517.019999985,-15667854.010000013,-10035522.469999986,-153091.48000000347,184291.9300000108,-138623.7799999861,-31742.06999999816,-211678.02999996327,96152.46000000516,-9244.31000001276,183596.2400000085,-340715.96999997017,481641.7099999714,-239707.56000001237,-125078.17000000068,31382.089999998243,-154714.5900000042,,,,,,,,,,,,,,,,,
vector sum z,-559153.6999999979,210325.90999999992,443309.5199999987,1152899.3700000024,1096581.8,-435975.8999999994,-416947.46999999735,-908969.5400000028,-1574566.359999996,-1468591.1199999924,-604340.7000000019,-109274.67000000452,371316.50999999954,885957.6499999984,-300663.16000000096,-469585.6399999964,-521072.0399999971,-625828.8699999977,-279875.1699999992,-461099.869999997,-102436.76999999429,-469034.0,-231500.9999999992,-441044.08000000106,203934.6299999997,-98265.41999999918,-134934.24000000115,64829.29999999989,-227292.66999999984,,,,,,,,,,,,,,,,,
vector sum norm,559334.820146981,3065590.618685333,5687654.184006223,8045405.657747066,10315110.287436392,12207568.537454167,14651646.812713215,16595984.586764602,17754964.520542257,18881359.47136429,19783080.789551843,19464989.861944184,18709617.75706532,17721564.77970763,14376916.4569704,498305.3327428583,576926.2391871001,646417.3683199075,330389.97753697773,522908.070473297,143299.42621493744,557119.6052378082,329110.56428500946,564644.7763139503,523288.910100105,418331.197003484,203174.64500559412,96010.0650823694,441596.7828962158,,,,,,,,,,,,,,,,,
total N,9389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0,8989.0,8589.0,8189.0,7789.0,7389.0,6889.0,6389.0,5889.0,5389.0,4889.0,4389.0,3889.0,3389.0,2389.0,5740.0,5569.0,6543.0,6290.0,6788.0,7091.0,7256.0,7261.0,7756.0,7388.0,7572.0,7695.0,7773.0,7505.0,8589.0,8757.0,8757.0
mean,633.812865497076,605.5292397660819,577.6812865497076,551.6461988304094,524.8099415204679,499.44152046783626,465.6578947368421,432.69883040935673,400.19883040935673,365.94444444444446,330.7397660818713,295.2163742690058,260.87134502923976,228.19590643274853,162.31578947368422,606.8216374269006,579.9883040935673,553.0526315789474,525.9649122807018,499.0029239766082,465.4356725146199,431.2134502923977,397.8245614035088,363.6461988304093,329.87134502923976,296.5204678362573,263.0029239766082,229.0146198830409,160.84795321637426,387.2046783625731,378.2748538011696,443.4239766081872,423.7017543859649,459.280701754386,480.0233918128655,487.93859649122805,488.2894736842105,523.5029239766081,501.4298245614035,510.0380116959065,519.7485380116959,524.7105263157895,504.1432748538012,579.0204678362574,590.6578947368421,590.6578947368421
median,635.0,632.0,631.0,629.0,627.5,626.0,619.0,580.0,523.5,446.0,339.5,261.0,173.5,93.0,3.0,609.0,582.0,554.5,529.0,500.0,467.0,431.0,398.0,365.0,331.0,295.0,263.0,229.5,160.0,383.5,398.5,445.0,458.0,482.0,525.5,533.5,534.0,528.0,566.0,522.0,540.0,528.0,544.0,581.5,595.0,595.0
variance,208.4386648883417,4812.009378954208,12341.521228754147,21688.550263328885,32307.01358537669,41214.72611230807,51956.23091720529,60469.88298108821,64868.88444307651,69287.5904808317,73400.4790619336,71423.61984884238,68771.59748298622,64430.75401833044,50131.28624192059,208.29859614924248,250.42091583735169,274.68728839642966,263.8233302554632,201.00291542696897,310.6844584658527,203.90473137033615,195.2265312403817,170.63213467391677,182.4746759686741,170.36069217879003,167.02630723983447,126.1079733935228,140.00027358845458,18932.905475188945,37727.64960158681,13892.735448514071,22484.846722068323,13925.558633425671,16335.525768612566,16632.806171129578,16670.34018159434,4176.67104408194,20365.73045552478,5688.679841660682,6971.188228856742,4147.889889196676,14096.228010327966,1389.1603997811292,1014.8098645737152,1014.8098645737152
stdev,14.437405060755957,69.36864838638712,111.09239950939104,147.27033056026215,179.7415188134803,203.0141032349922,227.9390947538515,245.9062483571497,254.6937071132236,263.2253606338715,270.92522780637023,267.2519781944418,262.24339359264366,253.8321374813096,223.90017025880212,14.432553348220909,15.824693230434251,16.57369266025015,16.242639263846968,14.177549697566535,17.626243458713848,14.27952139850409,13.972348809000644,13.06262357545056,13.50831876913904,13.052229394965062,12.92386580090626,11.22978064761386,11.832171127415906,137.59689486027273,194.23606668584188,117.86744863834998,149.94948056618378,118.0066041941114,127.81050726999156,128.9682370629667,129.11367155183194,64.62716955029006,142.7085507442521,75.42333751340286,83.49364184689,64.4041139151582,118.72753686625512,37.271442147858046,31.856080496095483,31.856080496095483
normalized stdev,0.0227786557305573,0.1145587096887088,0.1923074229613839,0.2669651868761212,0.3424887842115511,0.4064822304818091,0.4894990449644734,0.5683080957822534,0.636417919694322,0.7193041584043854,0.819149239342769,0.9052749152420576,1.0052594836096318,1.1123430803353007,1.3794109062636968,0.0237838476054003,0.0272845040473114,0.0299676589783738,0.0308816023362,0.0284117567580248,0.0378704179752362,0.0331147402494551,0.0351218857873097,0.0359212432783945,0.0409502643157491,0.0440179711377384,0.0491396278242736,0.0490352129193715,0.0735612166074575,0.3553595877047459,0.5134786643468959,0.265812077957387,0.3539033742814987,0.2569378677208583,0.2662589145651839,0.264312431913316,0.2644203459428517,0.1234514013013952,0.2846032360940598,0.147877875342302,0.1606423794212022,0.1227421800880692,0.2355035617616548,0.0643698180258424,0.0539332171464303,0.0539332171464303
skewness,-2.2635299717663364,-2.642768360390289,-2.012981373793952,-1.7386469280456167,-1.504572947381061,-1.2444646926541072,-0.9696158126362082,-0.7286399032248234,-0.517940705026849,-0.2867396873283165,-0.0707358859010803,0.1497865844764259,0.3626681821908966,0.5675596645202723,1.0549811356842431,-2.113363532211733,-1.5804780348355958,-1.5174698347305322,-0.7594094253784455,-1.2579303093013816,-0.4881406274444013,-0.5496523806187508,-0.1701786307159339,-0.9168335205597664,-0.2940536485181481,0.166346761773144,-0.1055605613028539,-0.4040370650392752,0.3003946982751266,0.0740233664136884,-0.3799028133403287,-0.2409102118037221,-0.8677533347686718,-0.5511451106556577,-0.9949578593808834,-1.1854329838395006,-1.1877424155166814,-0.4454727379584073,-1.2361571462045222,-0.7364613876832535,-0.9711462433468812,-0.4430607347035875,-1.5037037561029878,-0.2839491132871958,-0.3353024188224356,-0.3353024188224356
kurtosis,6.543197793298999,6.759654549054897,3.158234320254068,1.870271977457015,0.9577299654807097,0.0967209004821181,-0.6392856623629655,-1.123818540736083,-1.4080955242726876,-1.6245807017817415,-1.734977815285652,-1.7036957884409294,-1.5813975422949738,-1.3618512301743937,-0.4477713068345146,6.122966189327928,4.015708768665947,3.494299250468173,1.1378187937110402,3.122754209705759,-0.0684952909766507,0.9359677889228876,-0.4574082819439731,1.458246828688094,-0.317040574422748,-0.1139740734611152,1.1497184797685502,0.0888173186108622,-0.6282792833276494,-0.8592490674418394,-1.1488267446098492,-0.8391664791827442,0.0426352938454823,-0.6787413823768813,-0.1810830252791415,0.5722592250900194,0.5700102109458376,-0.2835808086454792,0.2214828203155878,-0.0372228044161042,0.167186705903477,-0.2671937405479885,1.6878245310044715,-0.496907266338666,-0.6014900011913218,-0.6014900011913218
